127.0.0.1 - - [03/May/2022:22:15:38 -0400] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2022:22:15:39 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:22:15:39 -0400] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/May/2022:22:15:47 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/May/2022:22:16:34 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:22:16:39 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:22:16:39 -0400] "GET /cs336Sample/UserHomepage.jsp HTTP/1.1" 200 283
0:0:0:0:0:0:0:1 - - [03/May/2022:22:55:28 -0400] "GET /cs336Sample/UserHomepage.jsp HTTP/1.1" 200 282
0:0:0:0:0:0:0:1 - - [03/May/2022:22:55:30 -0400] "GET /cs336Sample/loginPage.jsp? HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:22:55:42 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:22:55:47 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/May/2022:22:56:14 -0400] "GET /cs336Sample/UserHomepage.jsp HTTP/1.1" 200 638
0:0:0:0:0:0:0:1 - - [03/May/2022:22:56:22 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:22:56:25 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/May/2022:22:57:02 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:22:57:06 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/May/2022:22:58:07 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/May/2022:22:58:09 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/May/2022:23:00:13 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:23:00:23 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/May/2022:23:01:13 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:23:01:16 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [03/May/2022:23:01:45 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:23:01:48 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:23:01:48 -0400] "GET /cs336Sample/UserHomepage.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [03/May/2022:23:07:50 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:23:07:54 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:23:07:54 -0400] "GET /cs336Sample/UserHomepage.jsp HTTP/1.1" 200 788
0:0:0:0:0:0:0:1 - - [03/May/2022:23:13:02 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:23:13:06 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:23:13:06 -0400] "GET /cs336Sample/UserHomepage.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [03/May/2022:23:13:07 -0400] "GET /cs336Sample/shirt.jsp? HTTP/1.1" 200 672
0:0:0:0:0:0:0:1 - - [03/May/2022:23:19:25 -0400] "GET /cs336Sample/ HTTP/1.1" 200 649
0:0:0:0:0:0:0:1 - - [03/May/2022:23:19:28 -0400] "POST /cs336Sample/loginLogic.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2022:23:19:28 -0400] "GET /cs336Sample/UserHomepage.jsp HTTP/1.1" 200 784
0:0:0:0:0:0:0:1 - - [03/May/2022:23:19:30 -0400] "GET /cs336Sample/shirt.jsp? HTTP/1.1" 200 1185
